"Relative Time (Process)","Nvdia A100 x2 - system/gpu.process.0.powerWatts","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MIN","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MAX","Nvdia A100x1 - system/gpu.process.0.powerWatts","Nvdia A100x1 - system/gpu.process.0.powerWatts__MIN","Nvdia A100x1 - system/gpu.process.0.powerWatts__MAX","Nvidia H100 x1 - system/gpu.process.0.powerWatts","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MIN","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MAX"
"1231.719689","","","","","","","519.4","519.4","519.4"
"1260.936782","306.52","306.52","306.52","","","","","",""
"1260.952944","","","","325.27","325.27","325.27","","",""
"1261.732635","","","","","","","531.9","531.9","531.9"
"1290.939369","298.64","298.64","298.64","","","","","",""
"1290.957522","","","","345.78","345.78","345.78","","",""
"1291.752702","","","","","","","516.3","516.3","516.3"
"1320.942924","327.38","327.38","327.38","","","","","",""
"1320.960786","","","","318.2","318.2","318.2","","",""
"1321.768681","","","","","","","500.93","500.93","500.93"
"1350.946739","279.09","279.09","279.09","","","","","",""
"1350.965268","","","","345.17","345.17","345.17","","",""
"1351.789624","","","","","","","495.27","495.27","495.27"
"1380.949419","310.92","310.92","310.92","","","","","",""
"1380.969694","","","","334.62","334.62","334.62","","",""
"1381.790618","","","","","","","511.28","511.28","511.28"
"1410.951953","317.52","317.52","317.52","","","","","",""
"1410.974057","","","","339.1","339.1","339.1","","",""
"1411.800105","","","","","","","507.87","507.87","507.87"
"1440.956763","308","308","308","","","","","",""
"1440.977287","","","","317.9","317.9","317.9","","",""
"1441.813954","","","","","","","515.42","515.42","515.42"
"1470.960214","340.79","340.79","340.79","","","","","",""
"1470.981742","","","","332.6","332.6","332.6","","",""
"1471.832811","","","","","","","517.74","517.74","517.74"
"1500.962958","323.26","323.26","323.26","","","","","",""
"1500.986257","","","","319.37","319.37","319.37","","",""
"1501.865663","","","","","","","563.82","563.82","563.82"
"1530.966186","301.07","301.07","301.07","","","","","",""
"1530.991075","","","","341.37","341.37","341.37","","",""
"1531.870465","","","","","","","519.92","519.92","519.92"
