"Relative Time (Process)","Nvdia A100 x2 - system/gpu.process.0.powerWatts","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MIN","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MAX","Nvdia A100x1 - system/gpu.process.0.powerWatts","Nvdia A100x1 - system/gpu.process.0.powerWatts__MIN","Nvdia A100x1 - system/gpu.process.0.powerWatts__MAX","Nvidia H100 x1 - system/gpu.process.0.powerWatts","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MIN","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MAX"
"5341.506515","","","","309.42","309.42","309.42","","",""
"5371.511197","","","","342.38","342.38","342.38","","",""
"5401.515494","","","","312.96","312.96","312.96","","",""
"5431.51867","","","","339.42","339.42","339.42","","",""
"5461.523111","","","","320.24","320.24","320.24","","",""
"5491.527538","","","","342.02","342.02","342.02","","",""
"5521.53223","","","","331.93","331.93","331.93","","",""
"5551.536726","","","","333.03","333.03","333.03","","",""
"5581.541236","","","","335.01","335.01","335.01","","",""
"5611.545694","","","","319.21","319.21","319.21","","",""
"5641.550143","","","","355.47","355.47","355.47","","",""
"5701.5598","","","","339.07","339.07","339.07","","",""
"5731.564369","","","","338.86","338.86","338.86","","",""
"5761.568937","","","","338.22","338.22","338.22","","",""
"5791.573795","","","","332.95","332.95","332.95","","",""
"5821.579009","","","","315.74","315.74","315.74","","",""
"5851.583488","","","","337.11","337.11","337.11","","",""
"5881.586614","","","","318.73","318.73","318.73","","",""
"5911.591229","","","","361.07","361.07","361.07","","",""
"5941.597674","","","","348.9","348.9","348.9","","",""
"5971.602117","","","","325.53","325.53","325.53","","",""
"6001.606567","","","","322.78","322.78","322.78","","",""
"6031.610139","","","","341.45","341.45","341.45","","",""
"6061.614613","","","","329.89","329.89","329.89","","",""
"6091.61905","","","","346.84","346.84","346.84","","",""
"6121.622147","","","","317.74","317.74","317.74","","",""
"6151.62671","","","","326.52","326.52","326.52","","",""
"6181.631603","","","","320.19","320.19","320.19","","",""
"6211.636554","","","","351.8","351.8","351.8","","",""
"6241.639515","","","","320.87","320.87","320.87","","",""
"6271.644086","","","","340.53","340.53","340.53","","",""
"6301.648565","","","","317.89","317.89","317.89","","",""
"6331.653096","","","","344.7","344.7","344.7","","",""
"6361.6581","","","","321.02","321.02","321.02","","",""
"6391.662642","","","","346.1","346.1","346.1","","",""
"6421.667189","","","","123.58","123.58","123.58","","",""
"6451.671622","","","","234.85","234.85","234.85","","",""
"6481.674541","","","","349.96","349.96","349.96","","",""
"6511.679008","","","","322.63","322.63","322.63","","",""
"6541.683408","","","","358.94","358.94","358.94","","",""
"6571.686532","","","","323.31","323.31","323.31","","",""
"6601.688684","","","","336.85","336.85","336.85","","",""
"6631.692166","","","","332.83","332.83","332.83","","",""
"6661.696826","","","","346.9","346.9","346.9","","",""
"6691.70131","","","","346.91","346.91","346.91","","",""
"6721.705971","","","","347.26","347.26","347.26","","",""
"6751.710418","","","","317.26","317.26","317.26","","",""
"6781.714908","","","","329.03","329.03","329.03","","",""
"6811.719427","","","","328.85","328.85","328.85","","",""
"6871.726657","","","","322.93","322.93","322.93","","",""
"6901.731087","","","","325.37","325.37","325.37","","",""
"6931.735776","","","","332.28","332.28","332.28","","",""
"6961.739127","","","","335.44","335.44","335.44","","",""
"6991.743571","","","","343.79","343.79","343.79","","",""
"7021.745817","","","","339.7","339.7","339.7","","",""
"7051.750713","","","","346.61","346.61","346.61","","",""
"7081.755194","","","","325.15","325.15","325.15","","",""
"7111.758699","","","","344.87","344.87","344.87","","",""
"7141.763191","","","","337.99","337.99","337.99","","",""
"7171.767736","","","","339.1","339.1","339.1","","",""
"7201.772173","","","","320.1","320.1","320.1","","",""
"7231.775174","","","","332.51","332.51","332.51","","",""
"7261.77953","","","","320.22","320.22","320.22","","",""
"7291.784011","","","","350.24","350.24","350.24","","",""
"7321.788531","","","","325.03","325.03","325.03","","",""
"7351.792996","","","","355.51","355.51","355.51","","",""
"7381.79525","","","","304.63","304.63","304.63","","",""
"7411.799979","","","","331.94","331.94","331.94","","",""
"7441.80449","","","","325.95","325.95","325.95","","",""
"7471.807622","","","","353.74","353.74","353.74","","",""
"7501.812318","","","","353.48","353.48","353.48","","",""
"7531.815472","","","","328.07","328.07","328.07","","",""
"7561.817688","","","","335.59","335.59","335.59","","",""
"7591.820739","","","","331.61","331.61","331.61","","",""
"7621.825468","","","","343.15","343.15","343.15","","",""
"7651.830041","","","","326.7","326.7","326.7","","",""
"7681.834635","","","","333.1","333.1","333.1","","",""
"7711.839436","","","","351.62","351.62","351.62","","",""
"7741.844312","","","","337","337","337","","",""
"7771.849009","","","","326.75","326.75","326.75","","",""
"7801.853923","","","","353.15","353.15","353.15","","",""
"7831.8585","","","","333.32","333.32","333.32","","",""
"7861.862991","","","","348.95","348.95","348.95","","",""
"7891.867531","","","","321.47","321.47","321.47","","",""
"7921.87239","","","","350.72","350.72","350.72","","",""
"7981.881358","","","","313.2","313.2","313.2","","",""
"8011.884421","","","","338.04","338.04","338.04","","",""
"8041.887622","","","","156.21","156.21","156.21","","",""
"8071.892208","","","","182.43","182.43","182.43","","",""
"8101.895128","","","","351.81","351.81","351.81","","",""
"8131.899641","","","","334.66","334.66","334.66","","",""
"8161.904242","","","","328.32","328.32","328.32","","",""
"8191.908882","","","","323.68","323.68","323.68","","",""
"8221.913747","","","","346.71","346.71","346.71","","",""
"8251.918329","","","","320.52","320.52","320.52","","",""
"8281.921358","","","","346.83","346.83","346.83","","",""
"8311.92611","","","","322.02","322.02","322.02","","",""
"8341.930928","","","","343.35","343.35","343.35","","",""
"8371.935421","","","","333.3","333.3","333.3","","",""
"8401.939907","","","","331.03","331.03","331.03","","",""
"8431.944503","","","","312.59","312.59","312.59","","",""
"8461.948943","","","","343.7","343.7","343.7","","",""
"8491.953424","","","","328.72","328.72","328.72","","",""
"8521.956528","","","","335.49","335.49","335.49","","",""
"8551.95979","","","","321.45","321.45","321.45","","",""
"8581.964392","","","","332.96","332.96","332.96","","",""
"8611.9689","","","","322.21","322.21","322.21","","",""
"8641.973373","","","","358.27","358.27","358.27","","",""
"8671.977916","","","","321.23","321.23","321.23","","",""
"8701.982773","","","","339.19","339.19","339.19","","",""
"8731.987609","","","","326.6","326.6","326.6","","",""
"8761.992438","","","","353.78","353.78","353.78","","",""
"8791.998738","","","","322.27","322.27","322.27","","",""
"8822.00322","","","","340.42","340.42","340.42","","",""
"8852.009783","","","","315.16","315.16","315.16","","",""
"8882.0119","","","","340.62","340.62","340.62","","",""
"8912.014547","","","","328.37","328.37","328.37","","",""
"8942.019041","","","","332.81","332.81","332.81","","",""
"8972.02354","","","","319.44","319.44","319.44","","",""
"9002.02819","","","","344.06","344.06","344.06","","",""
"9032.032758","","","","328.21","328.21","328.21","","",""
"9062.037609","","","","345.64","345.64","345.64","","",""
"9092.041971","","","","336.02","336.02","336.02","","",""
"9152.048516","","","","352.25","352.25","352.25","","",""
"9182.053409","","","","333.8","333.8","333.8","","",""
"9212.057859","","","","340.72","340.72","340.72","","",""
"9242.060938","","","","324.81","324.81","324.81","","",""
"9257.597974","","","","343.14","343.14","343.14","","",""
